 ,Label,Area,Circ.,AR,Round,Solidity
33,sample1_thresholded.tif,262.373,0.790,1.178,0.849,0.923
34,sample1_thresholded.tif,161.818,0.855,1.403,0.713,0.931
35,sample1_thresholded.tif,191.393,0.758,1.571,0.636,0.904
36,sample1_thresholded.tif,203.645,0.879,1.178,0.849,0.947
37,sample1_thresholded.tif,571.643,0.722,1.698,0.589,0.908
38,sample1_thresholded.tif,275.893,0.757,1.621,0.617,0.920
39,sample1_thresholded.tif,217.165,0.906,1.272,0.786,0.954
40,sample1_thresholded.tif,220.123,0.844,1.518,0.659,0.940
41,sample1_thresholded.tif,34.645,0.872,1.264,0.791,0.891
42,sample1_thresholded.tif,206.180,0.916,1.302,0.768,0.951
43,sample1_thresholded.tif,193.083,0.901,1.235,0.810,0.944
44,sample1_thresholded.tif,199.420,0.917,1.123,0.890,0.947
45,sample1_thresholded.tif,151.678,0.756,1.346,0.743,0.890
46,sample1_thresholded.tif,356.168,0.868,1.361,0.735,0.949
47,sample1_thresholded.tif,354.478,0.777,1.457,0.686,0.943
48,sample1_thresholded.tif,214.208,0.867,1.322,0.756,0.933
49,sample1_thresholded.tif,222.658,0.849,1.284,0.779,0.937
50,sample1_thresholded.tif,224.348,0.844,1.444,0.692,0.932
51,sample1_thresholded.tif,198.575,0.864,1.366,0.732,0.941
52,sample1_thresholded.tif,152.523,0.885,1.233,0.811,0.933
53,sample1_thresholded.tif,132.243,0.688,1.725,0.580,0.863
54,sample1_thresholded.tif,247.163,0.798,1.491,0.671,0.917
55,sample1_thresholded.tif,209.138,0.808,1.434,0.697,0.919
56,sample1_thresholded.tif,207.448,0.898,1.304,0.767,0.947
57,sample1_thresholded.tif,234.065,0.909,1.090,0.918,0.943
58,sample1_thresholded.tif,210.828,0.894,1.177,0.850,0.931
59,sample1_thresholded.tif,174.070,0.906,1.240,0.807,0.943
60,sample1_thresholded.tif,177.873,0.892,1.181,0.847,0.933
61,sample1_thresholded.tif,254.345,0.886,1.395,0.717,0.958
62,sample1_thresholded.tif,193.083,0.906,1.343,0.744,0.954
63,sample1_thresholded.tif,170.268,0.894,1.129,0.886,0.938
64,sample1_thresholded.tif,480.805,0.708,1.627,0.615,0.910
65,sample1_thresholded.tif,464.750,0.684,1.733,0.577,0.886
66,sample1_thresholded.tif,361.660,0.793,1.476,0.677,0.929
